IP Prefix	Description
54.239.98.0/24	us-east-1-amazon-us-east-1-255
176.32.125.228/31	us-east-1-amazon-us-east-1-256
13.34.30.128/27	us-east-1-amazon-us-east-1-257
52.93.178.187/32	us-west-1-amazon-us-west-1-258
52.119.176.0/21	us-west-1-amazon-us-west-1-259
54.144.0.0/14	us-east-1-ec2-us-east-1-2461
54.169.0.0/16	ap-southeast-1-ec2-ap-southeast-1-2462
54.240.236.74/32	eu-south-1-amazon-eu-south-1-262
99.77.136.0/24	eu-central-1-ec2-eu-central-1-2463
150.222.230.104/31	eu-central-1-amazon-eu-central-1-264
13.34.26.96/27	us-west-2-amazon-us-west-2-265
52.93.127.69/32	us-east-1-amazon-us-east-1-266
52.93.193.199/32	ca-central-1-amazon-ca-central-1-267
52.93.240.148/31	us-west-2-amazon-us-west-2-268
52.95.104.0/22	eu-west-1-amazon-eu-west-1-269
52.119.249.0/24	me-south-1-dynamodb-me-south-1-2374
64.252.72.0/24	us-west-2-ec2-us-west-2-2464
150.222.85.0/24	eu-west-1-amazon-eu-west-1-272
150.222.245.122/31	eu-central-1-amazon-eu-central-1-273
52.93.127.121/32	eu-south-1-amazon-eu-south-1-274
52.95.168.0/24	us-gov-east-1-s3-us-gov-east-1-2255
52.144.224.128/26	ap-southeast-1-amazon-ap-southeast-1-276
54.192.0.0/16	GLOBAL-cloudfront-GLOBAL-3016
54.239.0.16/28	us-west-1-amazon-us-west-1-278
54.239.0.96/28	ap-southeast-1-amazon-ap-southeast-1-279
99.77.148.0/24	af-south-1-ec2-af-south-1-2465
15.230.39.40/31	us-east-2-amazon-us-east-2-281
52.95.240.0/24	sa-east-1-ec2-sa-east-1-2466
52.219.16.0/22	ap-northeast-1-s3-ap-northeast-1-2256
75.101.128.0/17	us-east-1-ec2-us-east-1-2467
150.222.3.242/31	ap-southeast-1-amazon-ap-southeast-1-285
150.222.129.122/31	eu-central-1-amazon-eu-central-1-286
150.222.243.177/32	eu-south-1-amazon-eu-south-1-287
150.222.244.37/32	eu-south-1-amazon-eu-south-1-288
176.32.125.234/31	us-east-1-amazon-us-east-1-289
204.246.173.0/24	GLOBAL-cloudfront-GLOBAL-3017
15.222.0.0/15	ca-central-1-ec2-ca-central-1-2468
52.93.62.0/24	us-east-2-amazon-us-east-2-292
